2024-10-24 13:06:16.198998 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release\SessionLogs\tap 2024-10-24 13-06-16.txt'. [1.22 ms]
2024-10-24 13:06:16.218946 ; Session        ; Debug       ; Running '.\tap  package create "C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\\package.xml" --install' in 'C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release'.
2024-10-24 13:06:16.243880 ; AssemblyFinder ; Debug       ; Found 8/29 assembly files. [6.31 ms]
2024-10-24 13:06:16.265820 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2024-10-24 13:06:16.355789 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-10-24 13:06:16.452503 ; Searcher       ; Debug       ; Ordered 8 assemblies according to references. [170 ms]
2024-10-24 13:06:16.510350 ; Searcher       ; Warning     ; Plugin with duplicate type name BT2202a.MyTestStep defined in 'BT2202a' and 'BT2202A'
2024-10-24 13:06:16.510350 ; Searcher       ; Warning     ; Plugin with duplicate type name OpenTap.Plugins.PluginDevelopment.ScpiInstrumentExample defined in 'BT2202a' and 'BT2202A'
2024-10-24 13:06:16.517330 ; PluginManager  ; Debug       ; Found 5 plugin assemblies containing 179 plugin types. [240 ms]
2024-10-24 13:06:16.518351 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.dll
2024-10-24 13:06:16.518351 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2024-10-24 13:06:16.518351 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.Package.dll
2024-10-24 13:06:16.518351 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2024-10-24 13:06:16.518351 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.Plugins.BasicSteps.dll
2024-10-24 13:06:16.518351 ; PluginManager  ; Debug       ; Searched 8 Assemblies. [243 ms]
2024-10-24 13:06:16.527303 ; AssemblyData   ; Debug       ; Loaded OpenTap. [388 us]
2024-10-24 13:06:16.538276 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2024-10-24 13:06:16.538276 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9277.0
