2024-10-24 10:59:29.310494 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release\SessionLogs\tap 2024-10-24 10-59-29.txt'. [1.39 ms]
2024-10-24 10:59:29.331416 ; Session        ; Debug       ; Running '.\tap  package create "C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\\package.xml" --install' in 'C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release'.
2024-10-24 10:59:29.357348 ; AssemblyFinder ; Debug       ; Found 9/30 assembly files. [6.26 ms]
2024-10-24 10:59:29.378291 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2024-10-24 10:59:29.399235 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-10-24 10:59:29.484603 ; Searcher       ; Debug       ; Ordered 9 assemblies according to references. [94.7 ms]
2024-10-24 10:59:29.527104 ; Searcher       ; Warning     ; Plugin with duplicate type name BT2202a.carga defined in 'BT2202a' and 'BT2202A'
2024-10-24 10:59:29.527104 ; Searcher       ; Warning     ; Plugin with duplicate type name BT2202a.MyTestStep defined in 'BT2202a' and 'BT2202A'
2024-10-24 10:59:29.527104 ; Searcher       ; Warning     ; Plugin with duplicate type name OpenTap.Plugins.PluginDevelopment.ScpiInstrumentExample defined in 'BT2202a' and 'BT2202A'
2024-10-24 10:59:29.533087 ; PluginManager  ; Debug       ; Found 5 plugin assemblies containing 187 plugin types. [146 ms]
2024-10-24 10:59:29.534089 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.dll
2024-10-24 10:59:29.534089 ; PluginManager  ; Debug       ; Found version 0.0.0            of BT2202a.dll
2024-10-24 10:59:29.534089 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.Package.dll
2024-10-24 10:59:29.534089 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Editor.exe
2024-10-24 10:59:29.534089 ; PluginManager  ; Debug       ; Found version 9.26.1+3d268116  of OpenTap.Plugins.BasicSteps.dll
2024-10-24 10:59:29.534089 ; PluginManager  ; Debug       ; Searched 9 Assemblies. [148 ms]
2024-10-24 10:59:29.550049 ; AssemblyData   ; Debug       ; Loaded OpenTap. [268 us]
2024-10-24 10:59:29.569996 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [5.88 ms]
2024-10-24 10:59:29.595899 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release\SessionLogs\SessionLog 2024-10-24 10-59-29.txt'. [8.70 ms]
2024-10-24 10:59:29.601883 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.19045 X64
2024-10-24 10:59:29.601883 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9277.0
2024-10-24 10:59:29.601883 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.26.1+3d268116 X64
2024-10-24 10:59:29.605871 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [3.93 ms]
2024-10-24 10:59:29.627814 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [2.83 ms]
2024-10-24 10:59:29.659306 ; AssemblyData   ; Debug       ; Loaded mscorlib. [600 ns]
2024-10-24 10:59:29.695241 ; CLI            ; Debug       ; Executing CLI action: package \ create
2024-10-24 10:59:29.704214 ; VariableExpander ; Debug       ; Initialized variable expander:
2024-10-24 10:59:29.713190 ; Package        ; Debug       ; Package preprocessing completed. [11.8 ms]
2024-10-24 10:59:29.737100 ; Resolver       ; Debug       ; Found match for DotNet.Glob, Version=3.0.1.0, Culture=neutral, PublicKeyToken=b68cc888b4f632d1 in C:\Users\Admin\Documents\GitHub\BT2202A_Plugin\YushiProject\bin\Release\Dependencies\DotNet.Glob.3.0.1.0\DotNet.Glob.dll
2024-10-24 10:59:29.758158 ; Searcher       ; Debug       ; Ordered 30 assemblies according to references. [8.91 ms]
