2024-06-11 17:15:14.864829 ; Session        ; Debug       ; Session log loaded as 'C:\Users\yuxia\source\repos\BT2202A\bin\Release\SessionLogs\editor 2024-06-11 17-15-14.txt'. [17.2 ms]
2024-06-11 17:15:14.876332 ; Session        ; Debug       ; Running '"C:\Users\yuxia\source\repos\BT2202A\bin\Release\editor.exe" ' in 'C:\Users\yuxia\source\repos\BT2202A\bin\Release'.
2024-06-11 17:15:14.896207 ; Session        ; Debug       ; Microsoft Windows 10.0.22631 X64
2024-06-11 17:15:14.896207 ; Session        ; Debug       ; .NET Framework 4.8.9241.0
2024-06-11 17:15:14.910217 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2024-06-11 17:15:14.913724 ; AssemblyFinder ; Debug       ; Found 26/81 assembly files. [13.1 ms]
2024-06-11 17:15:15.073945 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2024-06-11 17:15:15.326748 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-06-11 17:15:15.334712 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2024-06-11 17:15:16.294533 ; Searcher       ; Debug       ; Ordered 23 assemblies according to references. [1.37 s]
2024-06-11 17:15:16.353711 ; PluginManager  ; Debug       ; Found 18 plugin assemblies containing 267 plugin types. [1.43 s]
2024-06-11 17:15:16.353711 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll
2024-06-11 17:15:16.353711 ; PluginManager  ; Debug       ; Found version 0.1.0-Development of BT2202A.dll
2024-06-11 17:15:16.353711 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Package.dll
2024-06-11 17:15:16.353711 ; PluginManager  ; Debug       ; Found version 1.1.1.0          of Keysight.OpenTap.Licensing.dll
2024-06-11 17:15:16.353711 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Plugins.BasicSteps.dll
2024-06-11 17:15:16.353711 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.Wpf.dll
2024-06-11 17:15:16.353711 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of PackageManager.exe
2024-06-11 17:15:16.353711 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Editor.exe
2024-06-11 17:15:16.353711 ; PluginManager  ; Debug       ; Found version 9.11.0+98498e58  of Csv.dll
