2024-06-07 15:19:46.869482 ; Settings       ; Debug       ; EngineSettings loaded from C:\Users\yuxia\source\repos\BT2202A\bin\Release\Settings\Engine.xml [176 ms]
2024-06-07 15:19:46.379155 ; Session        ; Debug       ; Session log loaded as 'C:\Users\yuxia\source\repos\BT2202A\bin\Release\SessionLogs\tap 2024-06-07 15-19-46.txt'. [3.42 ms]
2024-06-07 15:19:46.388154 ; Session        ; Debug       ; Running '.\tap  package create "C:\Users\yuxia\source\repos\BT2202A\\package.xml" --install' in 'C:\Users\yuxia\source\repos\BT2202A\bin\Release'.
2024-06-07 15:19:46.403292 ; Session        ; Debug       ; Microsoft Windows 10.0.22631 X64
2024-06-07 15:19:46.403292 ; Session        ; Debug       ; .NET Framework 4.8.9241.0
2024-06-07 15:19:46.413299 ; AssemblyFinder ; Debug       ; Found 26/81 assembly files. [9.99 ms]
2024-06-07 15:19:46.413299 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2024-06-07 15:19:46.535488 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-06-07 15:19:46.549948 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2024-06-07 15:19:46.594978 ; Searcher       ; Debug       ; Ordered 23 assemblies according to references. [179 ms]
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found 18 plugin assemblies containing 267 plugin types. [236 ms]
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 0.1.0-Development of BT2202A.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Package.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 1.1.1.0          of Keysight.OpenTap.Licensing.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Plugins.BasicSteps.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.Wpf.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of PackageManager.exe
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Editor.exe
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.11.0+98498e58  of Csv.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of ResultsViewer.exe
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of RunExplorer.exe
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.CommunityEditionPopup.exe
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Sdk.New.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SQLite.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Found version 1.2.6+ef0ad804   of OpenTap.VSSdk.Installer.dll
2024-06-07 15:19:46.652189 ; PluginManager  ; Debug       ; Searched 26 Assemblies. [237 ms]
2024-06-07 15:19:46.671027 ; PluginManager  ; Debug       ; Loaded OpenTap. [241 us]
2024-06-07 15:19:46.678029 ; PluginManager  ; Debug       ; Loaded Keysight.OpenTap.Wpf. [2.57 ms]
2024-06-07 15:19:46.704563 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [2.77 ms]
2024-06-07 15:19:46.705563 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [2.65 ms]
2024-06-07 15:19:46.713562 ; PluginManager  ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [2.49 ms]
2024-06-07 15:19:46.765618 ; PluginManager  ; Debug       ; Loaded mscorlib. [600 ns]
