2024-06-11 17:22:42.024324 ; Session        ; Debug       ; Session log loaded as 'C:\Users\yuxia\source\repos\BT2202A\bin\Release\SessionLogs\editor 2024-06-11 17-22-41.txt'. [3.92 ms]
2024-06-11 17:22:42.033112 ; Session        ; Debug       ; Running '"C:\Users\yuxia\source\repos\BT2202A\bin\Release\editor.exe" ' in 'C:\Users\yuxia\source\repos\BT2202A\bin\Release'.
2024-06-11 17:22:42.055205 ; Session        ; Debug       ; Microsoft Windows 10.0.22631 X64
2024-06-11 17:22:42.055205 ; Session        ; Debug       ; .NET Framework 4.8.9241.0
2024-06-11 17:22:42.068295 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2024-06-11 17:22:42.072296 ; AssemblyFinder ; Debug       ; Found 26/81 assembly files. [12.5 ms]
2024-06-11 17:22:42.095291 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-06-11 17:22:42.100200 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2024-06-11 17:22:42.107210 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2024-06-11 17:22:42.172795 ; Searcher       ; Debug       ; Ordered 23 assemblies according to references. [97.7 ms]
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found 18 plugin assemblies containing 267 plugin types. [171 ms]
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 0.1.0-Development of BT2202A.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Package.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 1.1.1.0          of Keysight.OpenTap.Licensing.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Plugins.BasicSteps.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.Wpf.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of PackageManager.exe
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Editor.exe
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.11.0+98498e58  of Csv.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of ResultsViewer.exe
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of RunExplorer.exe
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.CommunityEditionPopup.exe
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Sdk.New.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SQLite.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Found version 1.2.6+ef0ad804   of OpenTap.VSSdk.Installer.dll
2024-06-11 17:22:42.245698 ; PluginManager  ; Debug       ; Searched 26 Assemblies. [171 ms]
2024-06-11 17:22:42.252764 ; PluginManager  ; Debug       ; Loaded OpenTap. [336 us]
2024-06-11 17:22:42.258367 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [3.52 ms]
2024-06-11 17:22:42.258367 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [3.74 ms]
2024-06-11 17:22:42.258915 ; PluginManager  ; Debug       ; Loaded Keysight.OpenTap.Wpf. [287 us]
2024-06-11 17:22:42.271953 ; PluginManager  ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [4.04 ms]
2024-06-11 17:22:42.342618 ; PluginManager  ; Debug       ; Loaded mscorlib. [800 ns]
2024-06-11 17:22:42.457552 ; Settings       ; Debug       ; EditorSettings loaded from C:\Users\yuxia\source\repos\BT2202A\bin\Release\Settings\Editor.xml [312 ms]
2024-06-11 17:22:42.458547 ; Resolver       ; Debug       ; Found match for Keysight.Ccl.Wsl, Version=4.0.1.9, Culture=neutral, PublicKeyToken=55333af07c70062e in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\Keysight.Ccl.Wsl.4.0.1.9\Keysight.Ccl.Wsl.dll
2024-06-11 17:22:42.462563 ; Resolver       ; Debug       ; Found match for MahApps.Metro, Version=1.3.0.0, Culture=neutral, PublicKeyToken=f4fb5a3c4d1e5b4f in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\MahApps.Metro.1.3.0.0\MahApps.Metro.dll
2024-06-11 17:22:42.555822 ; GUI            ; Debug       ; Loaded Light Theme. [10.3 ms]
2024-06-11 17:22:42.623916 ; Resolver       ; Debug       ; Found match for AvalonDock, Version=4.60.0.0, Culture=neutral, PublicKeyToken=3e4669d2f30244f4 in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Dependencies\AvalonDock.4.60.0.0\AvalonDock.dll
2024-06-11 17:22:42.770312 ; Settings       ; Debug       ; GuiControlsSettings loaded from C:\Users\yuxia\source\repos\BT2202A\bin\Release\Settings\GUI Controls.xml [81.3 ms]
2024-06-11 17:22:42.770312 ; Main           ; Debug       ; Window initial dimensions: 1549px, 829px.
2024-06-11 17:22:42.786225 ; Settings       ; Debug       ; EngineSettings loaded from C:\Users\yuxia\source\repos\BT2202A\bin\Release\Settings\Engine.xml [15.0 ms]
2024-06-11 17:22:42.788308 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [723 us]
2024-06-11 17:22:42.791228 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Licensing, Version=1.1.1.0, Culture=neutral, PublicKeyToken=null in C:\Users\yuxia\source\repos\BT2202A\bin\Release\Packages\Keysight Licensing\Keysight.OpenTap.Licensing.dll
2024-06-11 17:22:42.818543 ; Session        ; Debug       ; Session log loaded as 'SessionLogs\SessionLog 2024-06-11 17-22-42.txt'. [13.1 ms]
2024-06-11 17:22:43.047887 ; Main           ; Debug       ; GUI initialized. [276 ms]
2024-06-11 17:22:43.047887 ; Main           ; Debug       ; Docking manager initialized. [46.0 us]
2024-06-11 17:22:43.048788 ; OpenTAP        ; Information ; OpenTAP version '9.17.4+ea67c63a' 64-bit initialized 06/11/2024 [1.21 s]
2024-06-11 17:22:43.067781 ; PluginManager  ; Debug       ; Loaded PackageManager. [204 us]
2024-06-11 17:22:43.067781 ; PluginManager  ; Debug       ; Loaded Editor. [22.8 us]
2024-06-11 17:22:43.071188 ; PluginManager  ; Debug       ; Loaded ResultsViewer. [2.94 ms]
2024-06-11 17:22:43.073391 ; PluginManager  ; Debug       ; Loaded RunExplorer. [2.18 ms]
